ល.រ ក្រុមហ៊ុន/សហគ្រាស,ល.រ មុខសញ្ញា,ឈ្មោះក្រុមហ៊ុន/សហគ្រាស,អាស័យដ្ឋានក្រុមហ៊ុន/សហគ្រាស,រាជធានី/ខេត្ត,ឈ្មោះម្ចាស់ក្រុមហ៊ុន/សហគ្រាស,តួនាទី,លេខទូរស័ព្ទ,មុខសញ្ញាជាឧបករណ៍មាត្រាសាស្ត្រ ឬទំនិញវេចខ្ចប់,ឈ្មោះឧបករណ៍មាត្រាសាស្ត្រ/ទំនិញវេចខ្ចប់,ម៉ាក/ម៉ូដែល/លេខស៊េរី,ប្រទេសផលិតដើម,ឆ្នាំផលិត,សមត្ថភាពរង្វាស់រង្វាល់,កម្រិតលម្អៀង/សុក្រឹតភាព,លេខចុះបញ្ជីមាត្រាសាស្ត្រ,ថ្ងៃ/ខែ/ឆ្នាំចុះបញ្ជីមាត្រាសាស្ត្រ,លេខវិញ្ញាបនបត្រ,ថ្ងៃ/ខែ/ឆ្នាំចាប់ផ្ដើមមានសុពលភាព,ស្ថានភាព,Verification
01,1,ស្ថានីយប្រេងឥន្ធនៈតេលា សាន់ ង៉ុយ,NA ភូមិប្រសូតិ ទី ២ ឃុំកណ្ដៀងរាយ ស្រុកស្វាយទាប ខេត្តស្វាយរៀង,ស្វាយរៀង,សាន់ ង៉ុយ,ម្ចាស់ស្ថានីយ,0976945666,ឧបករណ៍មាត្រាសាស្ត្រ,ទូបញ្ជាប្រេង១,SUNO Tech,45,2018,5-50L/min,+-0.3,CMRC20261447,46204.15867,1447.មមជ.2026,2022-11-15,COMPLETED,mOZv6NHAWfYU85ztjYPyycGmlKhFjsie
01,2,ស្ថានីយប្រេងឥន្ធនៈតេលា សាន់ ង៉ុយ,NA ភូមិប្រសូតិ ទី ២ ឃុំកណ្ដៀងរាយ ស្រុកស្វាយទាប ខេត្តស្វាយរៀង,ស្វាយរៀង,សាន់ ង៉ុយ,ម្ចាស់ស្ថានីយ,0976945666,ឧបករណ៍មាត្រាសាស្ត្រ,ទូបញ្ជាប្រេង២,SUNO Tech,45,2018,5-50L/min,+-0.3,CMRC20261447,46204.15867,1447.មមជ.2026,2022-11-15,COMPLETED,mOZv6NHAWfYU85ztjYPyycGmlKhFjsie
01,3,ស្ថានីយប្រេងឥន្ធនៈតេលា សាន់ ង៉ុយ,NA ភូមិប្រសូតិ ទី ២ ឃុំកណ្ដៀងរាយ ស្រុកស្វាយទាប ខេត្តស្វាយរៀង,ស្វាយរៀង,សាន់ ង៉ុយ,ម្ចាស់ស្ថានីយ,0976945666,ទំនិញវេចខ្ចប់,N/A,42,1,42,N/A,,CMRC20261447,46204.15867,1447.មមជ.2026,2022-11-15,COMPLETED,mOZv6NHAWfYU85ztjYPyycGmlKhFjsie
11,1,       ដេប៉ូប្រេងឥន្ធនៈ ណាក់ សុខា,    ភូមិតាពៅ  ឃុំគគីធំ  ស្រុកបារាយណ៍  ខេត្តកំពង់ធំ,កំពង់ធំ,លោក ពឹន សង្ហឺ,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,066994757,ឧបករណ៍មាត្រាសាស្ត្រ,ម៉ាស៊ីនបូមប្រេងឥន្ធនៈ,TATSUNO,45,2021,4L-40L/1min,±0.5%,CMRC20261439,46204.16005,1439.មមជ.2026,2024-03-19,COMPLETED,kYKHyWALOdsmHQ85cNH6w5KylLgoYxFq
11,2,       ដេប៉ូប្រេងឥន្ធនៈ ណាក់ សុខា,    ភូមិតាពៅ  ឃុំគគីធំ  ស្រុកបារាយណ៍  ខេត្តកំពង់ធំ,កំពង់ធំ,លោក ពឹន សង្ហឺ,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,066994757,ឧបករណ៍មាត្រាសាស្ត្រ,ម៉ាស៊ីនបូមប្រេងឥន្ធនៈ,TATSUNO,45,2021,4L-40L/1min,±0.5%,CMRC20261439,46204.16005,1439.មមជ.2026,2024-03-19,COMPLETED,kYKHyWALOdsmHQ85cNH6w5KylLgoYxFq
11,3,       ដេប៉ូប្រេងឥន្ធនៈ ណាក់ សុខា,    ភូមិតាពៅ  ឃុំគគីធំ  ស្រុកបារាយណ៍  ខេត្តកំពង់ធំ,កំពង់ធំ,លោក ពឹន សង្ហឺ,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,066994757,ទំនិញវេចខ្ចប់,N/A,N/A,45,2021,N/A,,CMRC20261439,46204.16005,1439.មមជ.2026,2024-03-19,COMPLETED,kYKHyWALOdsmHQ85cNH6w5KylLgoYxFq
21,1,            ដេប៉ូប្រេងឥន្ធនៈ សូ គឹមអ៊ាង,        ភូមិអណ្ដោត   ឃុំបាក់ស្នា   ស្រុកបារាយណ៍  ខេត្តកំពង់ធំ,កំពង់ធំ,លោកស្រី សូ គឺមអ៊ាង,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,092994757,ឧបករណ៍មាត្រាសាស្ត្រ,ម៉ាស៊ីនបូមប្រេងឥន្ធនៈ,TATSUNO,45,2021,4L-40L/1min,±0.5%,CMRC20261446,46204.16537,1446.មមជ.2026,2018-06-11,COMPLETED,WVa56IBPY7KBhjuzMRsPU9j0RJdLqrKk
21,2,            ដេប៉ូប្រេងឥន្ធនៈ សូ គឹមអ៊ាង,        ភូមិអណ្ដោត   ឃុំបាក់ស្នា   ស្រុកបារាយណ៍  ខេត្តកំពង់ធំ,កំពង់ធំ,លោកស្រី សូ គឺមអ៊ាង,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,092994757,ទំនិញវេចខ្ចប់,N/A,N/A,45,2021,N/A,,CMRC20261446,46204.16537,1446.មមជ.2026,2018-06-11,COMPLETED,WVa56IBPY7KBhjuzMRsPU9j0RJdLqrKk
31,1,    ដេប៉ូប្រេងឥន្ធនៈ តេលា លីហាក់និច្ច,         ភូមិជ្រោយស្លែង  ឃុំគីរីចុងកោះ  ស្រុកគីរីវង់  ខេត្តតាកែវ,តាកែវ,លោកស្រី គឹម មុន្នីនិច្ច,ម្ចាស់ស្ថានីយប្រេង,097 877 9677,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង ,C15032 sn: 0223456,45,2015,5L-45L/min,+- 0.3%,CMRC20261437,46204.20038,1437.មមជ.2026,2025-05-01,COMPLETED,y5DgpBkpbPphiF9vvJASd0VUoyjwTTq1
31,2,    ដេប៉ូប្រេងឥន្ធនៈ តេលា លីហាក់និច្ច,         ភូមិជ្រោយស្លែង  ឃុំគីរីចុងកោះ  ស្រុកគីរីវង់  ខេត្តតាកែវ,តាកែវ,លោកស្រី គឹម មុន្នីនិច្ច,ម្ចាស់ស្ថានីយប្រេង,097 877 9677,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង ,C15032 sn: 0223887,45,2015,5L-45L/min,+- 0.3%,CMRC20261437,46204.20038,1437.មមជ.2026,2025-05-01,COMPLETED,y5DgpBkpbPphiF9vvJASd0VUoyjwTTq1
